mp-ids;Icohp_mean_avg;Icohp_mean_max;Icohp_mean_min;Icohp_mean_std;Icohp_sum_avg;Icohp_sum_max;Icohp_sum_min;Icohp_sum_std;bonding_perc_avg;bonding_perc_max;bonding_perc_min;bonding_perc_std;antibonding_perc_avg;antibonding_perc_min;antibonding_perc_max;antibonding_perc_std;Made_Loe;Made_Mull
mp-14038;-1.27;-0.35;-2.41;0.934922457;-4.622;-0.59;-14.47;5.012134874;0.855672;0.89011;0.82988;0.022881688;0.144328;0.10989;0.17012;0.022881688;-30.83;-35.22
mp-8943;-2.65;-2.45;-2.85;0.2;-11.01;-4.9;-17.12;6.11;0.77841;0.79558;0.76124;0.01717;0.22159;0.20442;0.23876;0.01717;-39.25;-46.73
mp-267;-1.713333333;-0.68;-2.23;0.730677007;-7.826666667;-3.39;-13.39;4.159489819;0.903486667;0.92031;0.89215;0.012133261;0.096513333;0.07969;0.10785;0.012133261;-1.9;-1.32
mp-15704;-5.96;-5.25;-6.67;0.71;-17.8725;-10.5;-26.66;6.363754297;1;1;1;0;0;0;0;0;-44.26;-67.78
mp-5377;-3.4075;-2.31;-4.88;1.026142656;-15.6025;-4.61;-29.3;9.977252565;0.9900725;1;0.96493;0.014614115;0.0099275;0;0.03507;0.014614115;-74.59;-106.9
mp-7128;-3.195;-0.77;-5.62;2.425;-12.5975;-0.77;-33.74;12.7690238;0.870385;0.99823;0.74149;0.127847156;0.129615;0.00177;0.25851;0.127847156;-76.42;-89.67
mp-20015;-3.565;-1.53;-5.6;2.035;-13.88;-1.53;-33.59;11.93829343;0.93044;0.99734;0.86353;0.06675018;0.06956;0.00266;0.13647;0.06675018;-63.04;-77.24
mp-13641;-2.065;-0.77;-3.36;1.295;-8.2725;-1.54;-20.19;7.123911759;0.8738675;1;0.74758;0.12588295;0.1261325;0;0.25242;0.12588295;-73.55;-88.18
mp-252;-4.42;-4.42;-4.42;0;-17.67;-17.67;-17.67;0;1;1;1;0;0;0;0;0;-4.38;-1.02
mp-570844;-1.645;-0.59;-2.56;0.795691523;-8.865;-0.59;-18.01;6.605488248;0.87292;0.96905;0.66512;0.121993112;0.12708;0.03095;0.33488;0.121993112;-4.04;-1.32
mp-36508;-2.655;-0.75;-4.56;1.905;-9.285;-0.75;-27.35;10.54281865;0.780585;0.91263;0.64822;0.131935373;0.219415;0.08737;0.35178;0.131935373;-41.04;-54.5
mp-755756;-1.816;-0.46;-3.2;1.154687837;-8.248;-2.3;-12.79;4.277879849;0.941854;0.99777;0.78989;0.077554009;0.058146;0.00223;0.21011;0.077554009;-15.54;-26.14
mp-8192;-2.106666667;-0.62;-2.85;1.051232081;-7.266666667;-1.85;-17.1;6.965191231;0.825416667;0.89328;0.79139;0.047986686;0.174583333;0.10672;0.20861;0.047986686;-33.27;-37.71
mp-28553;-0.45;-0.15;-0.67;0.198292713;-2.154;-1.14;-4;1.01211857;0.785612;0.81784;0.73134;0.031779005;0.214388;0.18216;0.26866;0.031779005;-79.49;-79.51
mp-5858;-1.875;-0.8;-2.95;1.075;-6.5475;-0.8;-17.67;6.57353168;0.7482875;0.78865;0.70526;0.040127463;0.2517125;0.21135;0.29474;0.040127463;-39.51;-45.63
mp-2858;-2.39;-0.55;-3.56;1.316991521;-13.3;-2.73;-24.92;9.089404088;0.933606667;1;0.8318;0.073090757;0.066393333;0;0.1682;0.073090757;-71.5;-97.93
mp-7251;-2.836666667;-0.57;-4.54;1.66784958;-10.40833333;-2.28;-27.22;9.726360088;0.887508333;0.95405;0.80816;0.059252529;0.112491667;0.04595;0.19184;0.059252529;-64.45;-77.72
mp-32880;-1.19;-1.19;-1.19;0;-4.75;-4.75;-4.75;0;0.73445;0.73445;0.73445;0;0.26555;0.26555;0.26555;0;-1.88;-2.95
mp-13926;-2.09;-0.56;-3.62;1.53;-7.3175;-0.56;-21.72;8.401637861;0.8734175;0.89066;0.85628;0.017117734;0.1265825;0.10934;0.14372;0.017117734;-29.82;-37.37
