,metadata.material_id
1212,mp-7770
1213,mp-12525
1214,mp-989629
1215,mp-568018
1216,mp-754326
1217,mp-7482
1218,mp-10246
1219,mp-23349
1220,mp-989526
1221,mp-1009129
1222,mp-14091
1223,mp-6960
1224,mp-567913
1225,mp-774907
1226,mp-924128
1227,mp-9437
1228,mp-27678
1229,mp-9778
1230,mp-10627
1231,mp-11715
1232,mp-22903
1233,mp-3839
1234,mp-15703
1235,mp-10381
1236,mp-23484
1237,mp-9675
1238,mp-7903
1239,mp-13868
1240,mp-961687
1241,mp-4824
1242,mp-29463
1243,mp-23040
1244,mp-8299
1245,mp-541989
1246,mp-3448
1247,mp-8703
1248,mp-7956
1249,mp-588
1250,mp-989575
1251,mp-13033
1252,mp-24589
1253,mp-7436
1254,mp-35777
1255,mp-66
1256,mp-28994
1257,mp-755013
1258,mp-556953
1259,mp-568968
1260,mp-697144
1261,mp-7148
1262,mp-6586
1263,mp-2979
1264,mp-4280
1265,mp-20282
1266,mp-753260
1267,mp-19734
1268,mp-23295
1269,mp-9562
1270,mp-2068
1271,mp-862631
1272,mp-1106
1273,mp-422
1274,mp-5955
1275,mp-866291
1276,mp-867194
1277,mp-9274
1278,mp-9198
1279,mp-684969
1280,mp-1002124
1281,mp-22323
1282,mp-7611
1283,mp-27999
1284,mp-7323
1285,mp-5488
1286,mp-551873
1287,mp-989565
1288,mp-28302
1289,mp-8411
1290,mp-8752
1291,mp-10182
1292,mp-30041
1293,mp-16264
1294,mp-1018100
1295,mp-856
1296,mp-14088
1297,mp-35220
1298,mp-4482
1299,mp-961673
1300,mp-989605
1301,mp-1778
1302,mp-581024
1303,mp-754117
1304,mp-8361
1305,mp-15557
1306,mp-13983
1307,mp-23222
1308,mp-9569
1309,mp-5478
1310,mp-13947
1311,mp-1639
1312,mp-9125
1313,mp-552806
1314,mp-11327
1315,mp-568666
1316,mp-5518
1317,mp-6947
1318,mp-743
1319,mp-574599
1320,mp-22899
1321,mp-5339
1322,mp-8759
1323,mp-981
1324,mp-29151
1325,mp-4081
1326,mp-2574
1327,mp-27303
1328,mp-20289
1329,mp-27985
1330,mp-8212
1331,mp-2286
1332,mp-554412
1333,mp-505825
1334,mp-866132
1335,mp-10086
1336,mp-27882
1337,mp-1009750
1338,mp-20329
1339,mp-7608
1340,mp-997618
1341,mp-733
1342,mp-27253
1343,mp-29585
1344,mp-570538
1345,mp-8934
1346,mp-7505
1347,mp-2667
1348,mp-7922
1349,mp-29208
1350,mp-971
1351,mp-697038
1352,mp-9250
1353,mp-5020
1354,mp-7786
1355,mp-38117
1356,mp-9631
1357,mp-6026
1358,mp-989541
1359,mp-23023
1360,mp-4035
1361,mp-641923
1362,mp-23364
1363,mp-3288
1364,mp-4452
1365,mp-8884
1366,mp-10219
1367,mp-7104
1368,mp-7939
1369,mp-567558
1370,mp-27243
1371,mp-1009220
1372,mp-8255
1373,mp-4690
1374,mp-21228
1375,mp-546011
1376,mp-1413
1377,mp-29055
1378,mp-3642
1379,mp-29396
1380,mp-10695
1381,mp-23116
1382,mp-9307
1383,mp-22895
1384,mp-7548
1385,mp-441
1386,mp-570008
1387,mp-5795
1388,mp-550751
1389,mp-1287
1390,mp-1022
1391,mp-20351
1392,mp-989531
1393,mp-8874
1394,mp-7988
1395,mp-7929
1396,mp-755287
1397,mp-12623
1398,mp-23251
1399,mp-8430
1400,mp-13109
1401,mp-23209
1402,mp-19717
1403,mp-4406
1404,mp-22988
1405,mp-12444
1406,mp-1039
1407,mp-989548
1408,mp-36066
1409,mp-6492
1410,mp-20027
1411,mp-28626
1412,mp-29529
1413,mp-1565
1414,mp-569442
1415,mp-616378
1416,mp-7060
1417,mp-1009084
1418,mp-1018096
1419,mp-4200
1420,mp-23870
1421,mp-22925
1422,mp-5928
1423,mp-27869
1424,mp-754517
1425,mp-22875
1426,mp-3834
1427,mp-552934
1428,mp-9144
1429,mp-27385
1430,mp-36582
1431,mp-3731
1432,mp-1029
1433,mp-961682
1434,mp-989538
1435,mp-4531
1436,mp-972937
1437,mp-9382
1438,mp-23860
1439,mp-10155
1440,mp-16763
1441,mp-8622
1442,mp-8963
1443,mp-13903
1444,mp-23818
1445,mp-13055
1446,mp-23231
1447,mp-2176
1448,mp-13800
1449,mp-37906
1450,mp-8818
1451,mp-2490
1452,mp-989570
1453,mp-12908
1454,mp-1009733
1455,mp-22865
1456,mp-569346
1457,mp-675230
1458,mp-13190
1459,mp-34293
1460,mp-5348
1461,mp-989610
1462,mp-2530
1463,mp-9856
1464,mp-7421
1465,mp-22905
1466,mp-470
1467,mp-22583
1468,mp-3595
1469,mp-4342
1470,mp-8248
1471,mp-568052
1472,mp-998599
1473,mp-996962
1474,mp-2964
1475,mp-568536
1476,mp-866141
1477,mp-8145
1478,mp-28377
1479,mp-23059
1480,mp-7958
1481,mp-4961
1482,mp-5967
1483,mp-569677
1484,mp-8042
1485,mp-5380
1486,mp-998612
1487,mp-7438
1488,mp-1008559
1489,mp-8943
1490,mp-487
1491,mp-28171
1492,mp-8280
1493,mp-8579
1494,mp-1253
1495,mp-19799
1496,mp-7752
1497,mp-384
1498,mp-11869
1499,mp-23804
1500,mp-752658
1501,mp-841
1502,mp-9564
1503,mp-7232
1504,mp-5132
1505,mp-4385
1506,mp-1634
1507,mp-978846
1508,mp-643260
1509,mp-239
1510,mp-862871
1511,mp-28264
1512,mp-7470
1513,mp-8188
1514,mp-998198
1515,mp-867339
1516,mp-22851
1517,mp-989514
1518,mp-8857
1519,mp-568661
1520,mp-626785
